"","V1","V2","V3","V4","V5"
"Z",1,3,0,0,4
"Z",2,3,1,0,0
"Z",2,3,2,0,0
"Z",2,3,3,0,0
"Z",2,3,4,0,0
"Z",2,3,0,1,0
"Z",2,3,0,2,0
"Z",2,3,0,3,0
"Z",2,3,0,4,0
"Z",2,3,0,0,1
"Z",2,3,0,0,2
"Z",2,3,0,0,3
"Z",2,3,0,0,4
"Z",3,3,1,0,0
"Z",3,3,2,0,0
"Z",3,3,3,0,0
"Z",3,3,4,0,0
"Z",3,3,0,1,0
"Z",3,3,0,2,0
"Z",3,3,0,3,0
"Z",3,3,0,4,0
"Z",3,3,0,0,1
"Z",3,3,0,0,2
"Z",3,3,0,0,3
"Z",3,3,0,0,4
"Z",4,3,1,0,0
"Z",4,3,2,0,0
"Z",4,3,3,0,0
"Z",4,3,4,0,0
"Z",4,3,0,1,0
"Z",4,3,0,2,0
"Z",4,3,0,3,0
"Z",4,3,0,4,0
"Z",4,3,0,0,1
"Z",4,3,0,0,2
"Z",4,3,0,0,3
"Z",4,3,0,0,4
"Z",0,4,1,0,0
"Z",0,4,2,0,0
"Z",0,4,3,0,0
"Z",0,4,4,0,0
"Z",0,4,0,1,0
"Z",0,4,0,2,0
"Z",0,4,0,3,0
"Z",0,4,0,4,0
"Z",0,4,0,0,1
"Z",0,4,0,0,2
"Z",0,4,0,0,3
"Z",0,4,0,0,4
"Z",1,4,1,0,0
"Z",1,4,2,0,0
"Z",1,4,3,0,0
"Z",1,4,4,0,0
"Z",1,4,0,1,0
"Z",1,4,0,2,0
"Z",1,4,0,3,0
"Z",1,4,0,4,0
"Z",1,4,0,0,1
"Z",1,4,0,0,2
"Z",1,4,0,0,3
"Z",1,4,0,0,4
"Z",2,4,1,0,0
"Z",2,4,2,0,0
"Z",2,4,3,0,0
"Z",2,4,4,0,0
"Z",2,4,0,1,0
"Z",2,4,0,2,0
"Z",2,4,0,3,0
"Z",2,4,0,4,0
"Z",2,4,0,0,1
"Z",2,4,0,0,2
"Z",2,4,0,0,3
"Z",2,4,0,0,4
"Z",3,4,1,0,0
"Z",3,4,2,0,0
"Z",3,4,3,0,0
"Z",3,4,4,0,0
"Z",3,4,0,1,0
"Z",3,4,0,2,0
"Z",3,4,0,3,0
"Z",3,4,0,4,0
"Z",3,4,0,0,1
"Z",3,4,0,0,2
"Z",3,4,0,0,3
"Z",3,4,0,0,4
"Z",4,4,1,0,0
"Z",4,4,2,0,0
"Z",4,4,3,0,0
"Z",4,4,4,0,0
"Z",4,4,0,1,0
"Z",4,4,0,2,0
"Z",4,4,0,3,0
"Z",4,4,0,4,0
"Z",4,4,0,0,1
"Z",4,4,0,0,2
"Z",4,4,0,0,3
"Z",4,4,0,0,4
"Z",0,0,1,1,0
"Z",0,0,1,2,0
"Z",0,0,1,3,0
"Z",0,0,1,4,0
"Z",0,0,1,0,1
"Z",0,0,1,0,2
"Z",0,0,1,0,3
"Z",0,0,1,0,4
"Z",1,0,1,1,0
"Z",1,0,1,2,0
"Z",1,0,1,3,0
"Z",1,0,1,4,0
"Z",1,0,1,0,1
"Z",1,0,1,0,2
"Z",1,0,1,0,3
"Z",1,0,1,0,4
"Z",2,0,1,1,0
"Z",2,0,1,2,0
"Z",2,0,1,3,0
"Z",2,0,1,4,0
"Z",2,0,1,0,1
"Z",2,0,1,0,2
"Z",2,0,1,0,3
"Z",2,0,1,0,4
"Z",3,0,1,1,0
"Z",3,0,1,2,0
"Z",3,0,1,3,0
